code_insee,nom,population,latitude,longitude
75056,Paris,2133111,48.857,2.352
13055,Marseille,873076,43.296,5.37
69123,Lyon,522250,45.764,4.836
31555,Toulouse,504078,43.596,1.432
06088,Nice,348085,43.712,7.238
44109,Nantes,323204,47.232,-1.548
34172,Montpellier,302454,43.613,3.868
67482,Strasbourg,291313,48.571,7.768
33063,Bordeaux,261804,44.857,-0.574
59350,Lille,236710,50.632,3.048
35238,Rennes,225081,48.112,-1.682
83137,Toulon,180452,43.136,5.932
51454,Reims,179380,49.252,4.04
42218,Saint-Étienne,172718,45.43,4.379
76351,Le Havre,166058,49.498,0.14
21231,Dijon,159346,47.323,5.038
38185,Grenoble,157477,45.182,5.721
49007,Angers,157175,47.477,-0.556
69266,Villeurbanne,156928,45.771,4.888
97411,Saint-Denis,154765,-20.933,55.447
30189,Nîmes,148104,43.845,4.348
13001,Aix-en-Provence,147478,43.536,5.399
63113,Clermont-Ferrand,147327,45.786,3.116
72181,Le Mans,145004,47.988,0.2
29019,Brest,139619,48.4,-4.503
37261,Tours,137658,47.399,0.696
80021,Amiens,133625,49.901,2.29
74010,Annecy,131715,45.891,6.126
87085,Limoges,129760,45.854,1.249
57463,Metz,120874,49.108,6.196
92012,Boulogne-Billancourt,119808,48.837,2.239
66136,Perpignan,119656,42.697,2.899
25056,Besançon,119198,47.255,6.02
45234,Orléans,116617,47.883,1.916
76540,Rouen,114083,49.441,1.093
93066,Saint-Denis,113942,48.93,2.359
93048,Montreuil,111455,48.863,2.448
14118,Caen,108200,49.185,-0.37
95018,Argenteuil,107221,48.951,2.241
68224,Mulhouse,106341,47.749,7.326
97415,Saint-Paul,105240,-21.044,55.322
54395,Nancy,104260,48.69,6.176
59599,Tourcoing,99011,50.725,3.159
59512,Roubaix,98892,50.688,3.183
92050,Nanterre,97351,48.896,2.207
94081,Vitry-sur-Seine,96205,48.788,2.394
94028,Créteil,92989,48.784,2.455
84007,Avignon,90330,43.935,4.841
86194,Poitiers,90240,46.584,0.36
93001,Aubervilliers,90071,48.912,2.384
92004,Asnières-sur-Seine,89662,48.915,2.288
92025,Colombes,88870,48.922,2.247
59183,Dunkerque,86788,51.031,2.338
93005,Aulnay-sous-Bois,86135,48.946,2.493
97416,Saint-Pierre,84077,-21.312,55.494
78646,Versailles,83587,48.803,2.118
97422,Le Tampon,81943,-21.223,55.558
92026,Courbevoie,81516,48.898,2.256
34032,Béziers,80341,43.348,3.231
17300,La Rochelle,78535,46.162,-1.175
92063,Rueil-Malmaison,78186,48.869,2.177
50129,Cherbourg-en-Cotentin,77808,49.633,-1.634
94017,Champigny-sur-Marne,77724,48.817,2.517
64445,Pau,77066,43.32,-0.35
33281,Mérignac,75729,44.832,-0.682
94068,Saint-Maur-des-Fossés,75441,48.799,2.494
06004,Antibes,75130,43.588,7.106
97209,Fort-de-France,74921,14.641,-61.069
2A004,Ajaccio,73822,41.935,8.701
06029,Cannes,73255,43.553,7.004
44184,Saint-Nazaire,72057,47.28,-2.254
97611,Mamoudzou,71437,-12.79,45.193
93029,Drancy,71363,48.923,2.445
93051,Noisy-le-Grand,70374,48.836,2.564
92040,Issy-les-Moulineaux,68580,48.824,2.264
95127,Cergy,68348,49.04,2.051
92044,Levallois-Perret,68009,48.895,2.287
68066,Colmar,67730,48.11,7.385
62193,Calais,67380,50.95,1.876
33318,Pessac,66760,44.792,-0.676
69259,Vénissieux,66363,45.704,4.881
91228,Évry-Courcouronnes,66177,48.63,2.44
92024,Clichy,64849,48.904,2.306
26362,Valence,64483,44.923,4.914
94041,Ivry-sur-Seine,64001,48.813,2.388
18033,Bourges,63702,47.075,2.404
29232,Quimper,63642,47.997,-4.091
97302,Cayenne,63468,5.022,-52.501
92002,Antony,63232,48.75,2.299
10387,Troyes,62782,48.297,4.078
83126,La Seyne-sur-Mer,62763,43.088,5.871
59009,Villeneuve-d'Ascq,62067,50.632,3.154
82121,Montauban,61919,44.022,1.364
93055,Pantin,60800,48.898,2.409
73065,Chambéry,59856,45.583,5.909
79191,Niort,59309,46.328,-0.465
92051,Neuilly-sur-Seine,59267,48.885,2.266
95585,Sarcelles,58424,48.99,2.382
93007,Le Blanc-Mesnil,58257,48.94,2.461
94046,Maisons-Alfort,58068,48.806,2.438
56121,Lorient,57846,47.75,-3.378
94076,Villejuif,57753,48.793,2.36
97409,Saint-André,57150,-20.963,55.643
83061,Fréjus,57082,43.472,6.764
60057,Beauvais,56677,49.437,2.086
11262,Narbonne,56395,43.165,3.02
77284,Meaux,55616,48.957,2.9
83069,Hyères,55103,43.102,6.189
93008,Bobigny,55056,48.908,2.439
85191,La Roche-sur-Yon,54952,46.668,-1.408
92023,Clamart,54491,48.796,2.255
56260,Vannes,54420,47.66,-2.757
77108,Chelles,54309,48.884,2.597
49099,Cholet,53936,47.045,-0.878
97414,Saint-Louis,53935,-21.234,55.421
93031,Épinay-sur-Seine,53489,48.955,2.314
93070,Saint-Ouen-sur-Seine,53207,48.91,2.333
02691,Saint-Quentin,52958,49.847,3.278
93010,Bondy,52905,48.902,2.484
64102,Bayonne,52749,43.492,-1.466
91174,Corbeil-Essonnes,52683,48.604,2.469
06027,Cagnes-sur-Mer,52580,43.672,7.153
69256,Vaulx-en-Velin,52139,45.786,4.926
97101,Les Abymes,52118,16.273,-61.502
93071,Sevran,51845,48.939,2.531
94033,Fontenay-sous-Bois,51812,48.851,2.474
78586,Sartrouville,51220,48.94,2.175
91377,Massy,50962,48.728,2.275
13004,Arles,50415,43.547,4.662
97311,Saint-Laurent-du-Maroni,50250,4.965,-53.983
